TAG	CATEGORY	NOTES / TRANSLATION
エロ蹲踞	expose thight pussy	sexy squatting
アークナイツ	tm	Arknights
NTR	type-	NTR / Netorare
明日方舟	tm	Arknights (Chinese name)
お尻	ass-	butt / ass
濡れ透け	expose	wet see-through clothes
ケモノ	fantasy	kemono / furry
眼鏡	glasses	glasses
拡張	expose pussy	dilation / stretching
ブルアカ	tm	Buruaka - Blue Archive (Abbreviation)
グラブル	tm	Granblue Fantasy
騎乗位	sex	Cowgirl position
ツインテール	hair-	twin ponytails (hairstyle)
塗糞	sca	scat smearing
BlueArchive	tm	Blue Archive
失禁	uro	incontinence - wetting - shikkin
メスケモ	fantasy	Female Furry / Anthro girl - Female Kemo
AI生成	ai	AI Generated Content
性奴隷	sm	Sex slave
ボテ腹	belly-	pregnant belly / swollen belly
裸	body- expose	nude
美少女	content-	Beautiful girl / Bishoujo
美少女戦士セーラームーン	tm	Pretty Guardian Sailor Moon
乳首	nip-	nipples
セーラームーン	tm	Sailor Moon
洗脳	sm-	Brainwashing / Mind Control
野外露出	expose	Outdoor exposure / Exhibitionism
獣耳	fantasy	Animal ears (Kemomimi)
乳揉み	tit	breast rub / breast massage / breast groping
StableDiffusion	ai	Stable Diffusion
タトゥー	bodymark	tattoo
グランブルーファンタジー	tm	Granblue Fantasy
黒髪	hair-	black hair
バニーガール	costume	bunny girl costume
潮吹き	wet	squirting
日焼け跡	tan	tanlines
使用済みコンドーム	condom	used condom
エルフ	fantasy	elf
NovelAI	ai	NovelAI
鞭打ち	sm	whipping / flogging
腹筋	belly-	abs
下乳	tit	underboob
にじさんじ	tm	nijisanji
食糞	sca	coprophagy
动图	anim	GIF / Animated Image (Chinese tag)
ペットプレイ	pet	pet play
目隠し	sm	blindfold
痴女	type	female pervert / nymphomaniac / lewd woman
悪堕ち	sm	corrupted / falling to evil
ビッチ	type	bitch / slut archetype
シスター	costume	nun uniform
ふともも	thigh-	thighs
透け乳首	nip	nipples through clothes / See-through nipples
背後から胸揉み	tit	breast groping from behind
レズ	not_solo yuri	yuri / lesbian
フェラチオ	mouth dick	fellatio / blowjob
すじ	expose	cameltoe outline / pussy line
3D	not_ai	3D Models
羞恥	sm- expose	humiliation / shame
女体美	body-	beautiful female bodies
監禁	sm	confinement / imprisonment
乱交	not_solo dick sex	group sex / orgy / gangbang
ギャル	type	gyaru
異物挿入	insert	foreign object insertion
ケモミミ	fantasy	kemomimi
hololive	tm	Hololive
狐耳	fantasy	fox ears
手コキ	dick	handjob
マイクロビキニ	swim expose	micro bikini
イラマチオ	throat dick insert	facefucking / deep throat / irrumatio
精液	cum	semen - seieki
鼻フック	sm	nose hook
挟まれたい谷間	tit	plump cleavage / cleavage you want to get caught in
尻	ass-	butt / ass
JK	id	joshikousei / high school girl
少女	id	young girl / shoujo
便女	uro	female human toilet / toilet girl / human urinal (Niku benki variation)
お漏らし	uro	wetting oneself / incontinence / peeing
筋肉娘	type	muscle girl / fit girl
立ちション	uro	peeing standing up / standing urination
ヒロピン	sm	heroine in a pinch / ryona light / Hiropin
うちの子	oc	OC / Original Character (Utchinoko)
BDSM	sm	BDSM
脱糞	sca	defecation / scat
機械姦	gear	intercourse with machinery / machine sex
バイブ	toy	vibrator / toy
横乳	tit	side breasts / side-breast
ビキニ	swim	bikini
落書き	not_ai	doodle / sketch
事後	setting	after sex / aftermath
褐色肌	tan	tan skin / dark skin
無様エロ	expose	uncouth erotic / clumsy erotic state / awful erotic
足裏	foot-	soles of feet
スパンキング	sm	spanking
3DCG	not_ai	3D Computer Graphics
汗	wet	sweat
ゼンレスゾーンゼロ	tm	Zenless Zone Zero
着衣巨乳	tit	clothed breasts / oppai hidden by shirt
マニキュア	bodypart-	nail polish
ディルド	toy	dildo
メスガキ	loli	sassy loli - female brat - mesugaki
ザーメン	cum	semen - cum - zamen
セーラー服	costume	sailor uniform
異種姦	fantasy sex	interspecies sex
小便	uro	urine / pee (shouben)
口内射精	cum mouth	oral ejaculation / cum in mouth
プラグスーツ	expose underwear	Plugsuit (Evangelion context/Sci-fi latex)
CLIPSTUDIOPAINT	content	Clip Studio Paint
胸ポチ	nip	nipple poke / nipples protruding through clothes (munepochi)
スリングショット	swim expose	slingshot swimsuit / bikini
輪チラ	nip	areola flash / areola peek
勝利の女神:NIKKE	tm	Goddess of Victory: NIKKE
アイドルマスターシャイニーカラーズ	tm	THE iDOLM@STER Shiny Colors
着衣噴乳	milk wear	Milk spraying through clothing
おねショタ	type	Onee-Shota
性器ピアス	pussy pierc	Genital piercing
乳合わせ	tit dick	paizuri sharing / breasts pressing / breast-to-breast rub
pokemon	tm	Pokémon (English tag)
貧乳	flat-	flat chest / small breasts
ラテックス	sm expose underwear	Latex / Rubber wear
うんこ	sca	poop / scat 
服越し母乳	tit milk	breastfeeding / lactation through clothes
エロ処刑	ryona	erotic execution / sexy punishment / lewd punishment
裸足裏	foot-	bare soles
碧蓝航线	tm	Azur Lane (Chinese name)
極上の貧乳	flat-	first-rate flat breasts / superb small breasts / premium flat chest
チンカス	cum	smegma
furry	fantasy	furry (English tag)
ラバースーツ	sm expose underwear	Rubber suit / Catsuit
四肢切断	guro	desmemberment / amputation / guro
乳吸い	tit	breast sucking
ローション	oil	lotion / lube
アナル尻尾	anal pet toy	anal tail plug
鬼畜	sm	brutal
開脚放尿	uro	spread leg urination / kaikyakuhounyou
愛液	wet	sexual fluids / female lubrication / love juice
崩壊スターレイル	tm	Honkai: Star Rail
創作	oc	OC / Original Creation
セックス	sex	sex
アナルビーズ	anal toy	anal beads
まんぐり返し	pussy	piledriver position / upward pussy display
おトイレ間に合わなかった系女子	uro	girls who didn't make it to the toilet in time
girl	content-	girl (English tag)
熟女	type	milf / mature woman
子宮脱	pussy ryona	uterine prolapse
乳房破壊	tit ryona	breast destruction
トイレ	uro toilet	toilet play / bathroom setting
スク水	swim	sukumizu / school swimsuit
遊戯王	tm	Yu-Gi-Oh!
腋毛	armpit-	armpit hair
白髪	hair-	white/silver hair
手マン	insert	fingering / manual stimulation
乳責め	tit	breast torture / stimulation
ハニーセレクト	tm	Honey Select
FF	tm	Final Fantasy
常識改変	setting+	change in common sense / common sense alteration / mind control
ポケットモンスター	tm	Pocket Monsters / Pokémon
チンコ包囲網	not_solo dick	surrounded by cocks / dick encirclement
NIKKE	tm	NIKKE (Abbreviation)
膣内放尿	pussy uro	vaginal urination / internal pee
両手に茎	not_solo dick	double handjob / holding two dicks / stems in both hands
三角木馬	sm gear	wooden horse
ブルマ	id	bloomer shorts
ハロウィン	setting	halloween themed
アイドルマスター	tm	THE IDOLM@STER
聖水	uro	golden shower / holy water / urine
積極お漏らし	uro	intentional pants wetting
崩坏星穹铁道	tm	Honkai: Star Rail (Chinese name)
寝取られ	type-	Netorare / Cuckold
口枷	mouth sm	Gag / Mouth shackle
凌辱	sm	sexual assault / rape / outrage / lewd violation
人妻	type	married woman / wife
乳暖簾	tit dick	milk warms / paizuri curtain / milk noren effect
はいてない	expose-	bottomless / not wearing panties / no-pan status
Arknights	tm	Arknights (English tag)
ぱんつ	underwear	panties
陵辱	sm	rape / lewd violation
男の娘	type	otokonoko / femboy
パンツ	underwear	panties (Katakana variation)
へそピアス	pierc	navel piercing
逆バニー	costume	reverse bunny suit
獣姦	beast	bestiality / zoophilia
悪魔っ娘	fantasy	devil girl / demon girl
仕事絵	content	commission / professional work
二穴	insert	DP / double penetration / two holes
ナース	costume	nurse uniform
ストリートファイター	tm	Street Fighter
黒髪ロング	hair-	long black hair
舌出し	tongue	tongue out
服ビリ	expose-	torn clothes / clothes tearing / ripped clothes
射精	cum	ejaculation / cumming
変身ヒロイン	id	transformable heroines
メイ(トレーナー)	©	Rosa / Mei (Pokémon Trainer)
パンチラ	expose-	panty flash / pantsu peek / panchira
レオタード	underwear	leotard
コルセットピアス	pierc	corset piercing
ILLUSION	tm	ILLUSION
黒ギャル	type	kuro-gyaru / dark-skinned gal
巨乳輪	nip	large areolas
小スカ	sca	Minor Scat / Light scat
宣伝	content	Advertisement / Promo art
娘乳	flat milk	Daughter's milk / Young lady lactation / Nyannyu
妊婦	type	Pregnant woman
公衆便所	toilet	Public toilet
僕のヒーローアカデミア	tm	My Hero Academia
ビンビンにおっ勃てたエロ乳首	nip	rock-hard erect erotic nipples
ヒトイヌ	pet sm	walking on fours / Human dog / Petplay pet
下着	underwear	underwear / lingerie
ニプレス	nip expose	nipple pasties
クリ責め	clit	clit stimulation / clit torture
オリキャラ	oc	Original Character / OC
開脚	open	spread legs
足コキ	foot dick	footjob
舌ピアス	tongue pierc	tongue piercing
縛り	bond	bound / tie-up (Bondage light)
ニーソ	underwear	Thighhighs / Knee-high socks (Knee-so) 
牛柄ビキニ	swim expose	cow print bikini
後背位	sex	doggy style
パンスト	underwear	Pantyhose
貞操帯	sm gear	chastity Belt
神羅万象	tm	Shinra Bansho
噴乳	tit milk	Lactation squirt / Spraying breast milk
前から見えるお尻	ass	butt visible from the front
プリンセスコネクト!Re:Dive	tm	Princess Connect! Re:Dive
ニプルファック	nip insert	nipple fuck
テカテカ	oil	gleaming / shiny / glossy skin filter / baby oil texture
ゼンゼロ	tm	Zenless Zone Zero (Japanese abbreviation)
ぽっかりアナル	anal	gaping anal / gaping asshole
おまんこ	pussy	pussy / vagina
電気責め	sm gear	electro torture / electric shock torture / electro-stimulation
舐め回したい穴	anus tongue	lickable asshole
腹ボコ	pussy toy sm	foreign objects in the stomach
ポニーガール	pet sm	pony girl play (bdsm)
フィギュア	art_style	figure-like style / garage kit look
くらすめいと	id	Classmate
あばれる乳	tit	abareruchichi / wildly bouncing breasts
bondage	bond	bondage (English tag)
VOCALOID	tm	Vocaloid
B★RS	tm	Black★Rock Shooter
巨根	dick	large penis / huge cock / monster penis
太もも	thigh-	thighs (Alternative kanji)
八重神子	©	Yae Miko (Genshin Impact character)
ローター	toy	rotor / egg vibrator
ポニーテール	hair-	ponytail
M字開脚	open	M-shaped spread legs
針責め	pierc	needle torture / piercing pins
牛娘	fantasy	cow girl / minotaur girl
松村馬之助	©	Umanosuke Matsumura (OC)
快楽堕ち	lust	succumbing to pleasure / mindbroken by pleasure / falling to ecstasy
尿	uro	urine
大量射精	cum	huge ejaculation
不知火舞	©	Mai Shiranui (Fatal Fury / KOF)
ガーターベルト	underwear	Garter belt
高品質パンツ	underwear	High-quality panties / Extremely detailed underwear
League_of_Legends	tm	League of Legends
陥没乳首	nip	inverted nipples
野外	setting expose	Outdoor setting
绝区零	tm	Zenless Zone Zero (Chinese name)
狐娘	fantasy	Fox girl / Kitsunemimi
断面図	expose	X-ray view / Cross-section view (Hentai anatomy)
女の子の立ちション	uro	Girl peeing standing up
便器	uro	Toilet / Human urinal context
乳神様	tit-	breast god / holy boobs appreciation
メガネ	glasses	Glasses (Katakana variation)
ピンク髪	hair-	pink hair
サイハイソックス	underwear	thigh-highs
ZenlessZoneZero	tm	Zenless Zone Zero (English tag)
魔法少女	id	Magical Girl
魅惑の顔	face	alluring face / fascinating face / ecstasy face expression
魅惑の乳	tit-	bewitching breasts / enchanting breasts
餓狼伝説	tm	Fatal Fury (Garou Densetsu)
銀髪	hair-	Silver hair
足指	foot-	toes
胸合わせ	tit	breasts pressed together / breast rubbing / cleavage-to-cleavage
濡れ	wet	wet / soaked clothes or skin
巫女	costume	shrine maiden / miko outfit
尿道	uro expose	urethra
初音ミク	©	Hatsune Miku
修道女	costume	Nun / Sister outfit
パイパン	pussy	shaved pubic area / bare pussy
セーラーマーキュリー	©	Sailor Mercury
ニーソックス	underwear	Knee socks / Over-knee socks
クンニ	mouth	Cunnilingus / Eating out
くノ一	costume	Kunoichi / Female ninja
WutheringWaves	tm	Wuthering Waves
鸣潮	tm	Wuthering Waves (Chinese name)
白丝	underwear	white silk pantyhose / Hakuhei
看板娘	id	Mascot girl / Poster girl
尿道責め	sm gear	Urethral torture / sounding
八雲藍	©	Ran Yakumo (Touhou character)
乳首吊り	nip bond	Nipple suspension / Nipple hanging bondage
ヴァンパイア	fantasy	Vampire
ワンピース	tm	One Piece
ロリビッチ	loli type	slutty lolita / loli-bitch / lewd loli archetype
ティファ・ロックハート	©	Tifa Lockhart (Final Fantasy VII)
セーラージュピター	©	Sailor Jupiter
けものフレンズ	tm	Kemono Friends
ai	ai	AI content (Lowercase tag)
HoneySelect	tm	Honey Select (English tag)
AzurLane	tm	Azur Lane (English tag)
鞭	sm gear	whip
裸ニーソ	expose-	wearing only knee-high socks / naked with knee-high socks
裸エプロン	expose-	naked apron
着衣脱糞	sca	clothed defecation / clothed bowel movement / pooping in clothes
眼鏡っ娘	glasses	girl with glasses / megane-ko
強制絶頂	sm	coerced orgasm / forced orgasm / forced climax
崩壊:スターレイル	tm	Honkai: Star Rail
勃起乳首	nip	erect nipples
ラブライブ!	tm	Love Live!
マシュ・キリエライト	©	Mash Kyrielight (Fate/Grand Order)
ランジェリー	underwear	Lingerie
オカルトマニア	©	Hex Maniac (Pokémon Trainer)
よその子	oc	Someone else's OC / Guest character
谷間	tit-	cleavage
汗だく	wet	sweating / covered in sweat / drenched in sweat
水野亜美	©	Ami Mizuno (Sailor Mercury)
変態	type	pervert / hentai
人間便器	uro	human toilet / meat urinal archetype
乳内放尿	tit dick uro	urination during paizuri / breast pee
乳	tit-	breasts
プリズマ☆イリヤ	tm	Fate/kaleid liner Prisma ☆Ilya
ヌード	expose	nude
ソックス足裏	foot	soles through socks / stocking feet
クリトリス	clit	clitoris
キス	not_solo	kissing
ねじ込みたい尻	ass-	ass I want to screw
おしっこ我慢	uro	pee-holding / holding back pee / urine patience
DOA	tm	Dead or Alive
鼠蹊部	thigh	groin / groin area / inguinal crease (sokeibu)
鬼滅の刃	tm	Demon Slayer (Kimetsu no Yaiba)
雷電将軍	©	Raiden Shogun (Genshin Impact character)
閃乱カグラ	tm	Senran Kagura
調月リオ	©	Rio Tsukatsuki (Blue Archive character)
有刺鉄線	sm gear	barbed wire
小便器	uro	urinal setting
女オナニー	mast	female masturbation
モンスター娘	fantasy	Monster Girl
ファンタジー	setting	fantasy setting
ビッチ化	lust	transforming into a bitch / become a bitch / turning into a bitch / lewd corruption
チャイナドレス	costume	cheongsam / china dress
コンドーム	condom	condom
エヴァ	tm	Evangelion
アナルセックス	anal insert	Anal sex
このすば	tm	Konosuba
いじめ	sm	bullying / domination humilation
FF14	tm	Final Fantasy XIV
透け	expose	see-through clothes / sheer
浣腸	sca	enema
性器破壊	ryona	genital destruction
女性を乳首責め	nip	nipple torture on a woman / joseiwochikubizeme
天雨アコ	©	Ako Amau (Blue Archive character)
体操服	costume	gym uniform / bloomer set
仰臥	body	supine position / lying on back
三つ編み	hair-	braids (Hairstyle)
フィギュア風	art_style	figure style / plastic toy filter
トップレス	tit-	topless
セーラーマーズ	©	Sailor Mars
シースルー	expose	see-through
網タイツ	underwear	fishnets
ガバマン	pussy	loose pussy / gaping pussy / stretched vagina
ずらし挿入	insert	clothed penetration / shifting clothes to insert / quick unbuttoned sex
Skeb	content	Skeb Commission art
SAO	tm	Sword Art Online
首絞め	sm	choking / erotic asphyxiation
精液ボテ	cum	belly filled with semen / semen bulge / swollen belly filled with cum
申鶴	©	Shenhe (Genshin Impact character)
日焼け	tan	sunburn / heavy tan
対魔忍	tm	Taimanin (Asagi/Yukikaze universe)
宇崎ちゃんは遊びたい!	tm	Uzaki-chan Wants to Hang Out!
妹	id	little sister / Imouto
嘔吐	sca	vomiting / emetic fetish
串刺し	ryona gear	skewer / impalement / spitted style
一之瀬アスナ	©	Asuna Ichinose (Blue Archive Bunny Girl)
ボディハーネス	sm	body harness (BDSM straps)
ブラックマジシャンガール	©	Black Magician Girl (Yu-Gi-Oh!)
ギルティギア	tm	Guilty Gear
KOF	tm	King of Fighters
開口マスク	mouth sm	open-mouth mask / Gag mask
痴漢	not_solo sm	molester / groping / molestation play
火野レイ	©	Rei Hino (Sailor Mars)
紐パン	underwear	Side-tie panties / String panties
悪魔	fantasy	demon
ブラ	underwear	Bra
傷跡	bodymark-	scar
乳出し	tit expose	exposed breasts / flashing tits
ラバー	costume	rubber / latex material
黒下着	underwear	black underwear
ドラクエ	tm	Dragon Quest (DQ)
チクニー	nip mast	nipple masturbation (Chikuni)
ダブルピース	hand-	double peace sign
ショタ	type	shota
コスプレ	costume	cosplay
クリスマス	setting	christmas themed
キャットファイト	not_solo	catfight / girl-on-girl brawl
エロ	content	erotic / ecchi
イラスト	content	illustration / general artwork
アナル拡張	anal	anal expansion / anal dilation / anal stretching
アナルプラグ	anal sm- toy	anal plug
アズレン	tm	Azur Lane (Japanese abbreviation)
この素晴らしい世界に祝福を!	tm	God's blessing on this wonderful world!
おしり	ass	butt
Vtuber	id	Vtuber
Ugoira	anim	Ugoira
Fate	tm	Fate
葬送のフリーレン	tm	Funeral Freelen
色紙	art_style	Colored paper
艦ぱい	© tit-	KanColle cleavage
腹パン	sm	Belly punch
股縄	bond pussy	crotch rope
精液風呂	cum	cum bath
競泳水着	costume	Competitive swimsuit / High-cut school swimsuit
発情	lust	In heat
猫娘	fantasy	Cat girl (Nekomusume)
猫又おかゆ	©	Nekomata Okayu (Hololive VTuber)
欠損	ryona	Amputee
木野まこと	©	Makoto Kino / Sailor Jupiter
提督LOVE	©	Admiral LOVE
悪魔娘	fantasy	Devil Girl / Akumamusume
ぴっちりスーツ	underwear expose	tight bodysuit / skintight suit
メイド服	costume	Maid outfit / Maid uniform
ボーイッシュ	type	Boyish girl / Tomboy archetype
Tバック	underwear expose	t-back thong
プリコネ	tm	Princess Connect! (Short casual tag)
ブレマートン(アズールレーン)	©	Bremerton (Azur Lane)
ハイレグ	swim	High-leg leotard / High-cut swimwear
トウコ(トレーナー)	©	Hilda / Touko (Pokémon Black/White Trainer)
チアガール	costume	Cheerleader outfit
ちっぱい	flat-	small breasts / chippai / tiny breasts / flat chest
かわいい	art_style	Cute / Kawaii (General aesthetic tag)
pee	uro	Pee / Urination (English lowercase tag)
overwatch	tm	Overwatch
DQ	tm	Dragon Quest (Short abbreviation tag)
Breasts	tit-	breasts (English capitalized tag)
髪コキ	hair dick	Hairjob / Frottage using long hair
食ザー	cum	Semen ingestion / Eating cum (Corrigido!)
食い込み	ass expose	wedgie / underwear wedged between butt cheeks
限界放尿	uro	can't hold the urge to pee / Limit urination / Urinating past the bladder limit
調教済み	sm	well-trained / Already trained / Conditioned submissive (BDSM)
見せ槍	dick	cock shock
着衣放尿	uro	clothed urination - chakui hōnyō / wetting oneself while fully dressed
猟奇マゾ	guro	Bizarre masochism / Guro-masochist build / rixyoukimazo
版権	tm-	copyrighted work / Fanart of official IP
授乳	tit milk	breastfeeding
捆绑	bond	bondage / shibari (Chinese characters variant tag)
手描きイラスト	not_ai	hand-drawn illustration
快楽天ビースト	tm	the quintessential quintuplets
レイプ目	face-	empty eyes / mind-broken eyes / dead eyes expression
メカ娘	fantasy	mecha girl / Mecha Girl
ムチムチ	chubby-	fat / muchimuchi / chubby / plump / thick thighs
フェルン	©	Fern (Sousou no Frieren - A maga gordinha emburrada)
ドMホイホイ	sm	Do M Hoi Hoi / Magnet for extreme masochists / Extreme M bait
トロ顔	face	melty face / torogao / intoxicated dazed expression
ティファ	©	Tifa Lockhart (Final Fantasy VII - Short name tag)
ダンまち	tm	DanMachi (Short casual abbreviation)
セルフ乳揉み	tit mast	self tit play / Self breast massage / Self breast fondling / Masturbating own tits
エロ下着	underwear expose	sexy underwear
エッチ	content	Ecchi
アナルフック	anal sm gear	anal hook
けもみみ	fantasy	Kemomimi
うる星やつら	tm	Urusei Yatsura
pixiv今日のお題	content	pixiv Today's Theme
ToLOVEる	tm	To LOVE Ru
魔法少女にあこがれて	tm	Gushing over Magical Girls (Mahouako)
魔女	id	Witch / Majo
髪掴み	sm hair	Hair grab
針	gear	needle
自撮り	body-	selfie
搾乳機	tit milk gear	milker / breast pump
微スカ	pov	Slight skirt view / Low angle peek (Micro-skirt glimpse)
巨乳化	tit	Breast expansion / Sudden growth fetish
宇崎花	©	Hana Uzaki (Uzaki-chan Wants to Hang Out!)
僕は友達が少ない	tm	Boku wa Tomodachi ga Sukunai (Haganai)
体に落書き	bodymark-	Body doodling / Writing markers on skin
ヴァンパイアシリーズ	tm	Darkstalkers / Vampire series (Capcom)
剥ぎ取りたいブラ	underwear expose	enticing brassiere
ヤフオク	content	Yahoo! Auctions
モンハン	tm	Monster Hunter (Casual abbreviation tag)
ポケモンSV	tm	Pokémon Scarlet & Violet
ノーブラ	expose-	No bra / Bralless state
ドット絵	art_style	Pixel art
ソードアート・オンライン	tm	Sword Art Online
セーラーヴィーナス	©	Sailor Venus
スーパーマリオ	tm	Super Mario
アームバインダー	bond	Arm binder (BDSM leather restraint sleeve)
scat	sca	Scat / Coprophilia (English lowercase tag)
ONEPIECE	tm	One Piece
OC	oc	Original Character (Abbreviation tag)
NovelAIDiffusion	ai	NovelAI Diffusion generated art tag
BMG	©	Black Magician Girl (Yu-Gi-Oh!)
裏乳	tit back	back boobs
舌	tongue	Tongue
美脚	thigh	Beautiful legs / Bikaku
竜娘	fantasy	Dragon Girl / Ryuumusume
黒タイツ	underwear-	Black tights
汁	pussy	fluid / bodily fluids / juices / vaginal secretion (Corrigido!)
抜け陰毛	sm	Shed pubic hair / Stray pubic hairs on skin
崩坏3rd	tm	Honkai Impact 3rd (Chinese characters tag)
尻尾	fantasy	Tail (Animal/monster girl tail feature)
少女前線	tm	Girls' Frontline (Chinese characters tag)
対魔忍アサギ	©	Asagi Igawa (Taimanin Asagi)
妊娠	bodypart	Pregnancy
博衣こより	©	Hakui Koyori (Hololive VTuber - A cientista coiote coyote)
刺青	bodymark	Tattoo / Shisei
乳カーテン	tit expose	tit curtains / Breast curtain / Tits hanging down covering view
乳だけ出してる	tit expose	boobs out of clothes / exposure of only the breasts
ローアングル	pov	Low angle shot / Aomori look up
フェラ素振り	tongue	Blowjob air practice / Tongue mimics sucking motion
ファイナルファンタジー	tm	Final Fantasy (Full katakana tag)
黒スト	underwear-	black stockings / tights
スクール水着	swim	Sukumizu / Japanese school swimsuit
クリリード	clit pierc sm	clitoris leash / clit chain attachment
ガールズ&パンツァー	tm	Girls und Panzer (Full katakana version)
ウェディングドレス	costume	Wedding dress
アラド戦記	tm	Arad Senki / Dungeon Fighter Online (JP name)
ごっくん	cum	Gokkun / Swallowing semen act
commission	content	Paid commission work (English tag)
boobs	tit-	Boobs (English lowercase plural tag)
R-15	content	R-15 rating / Mild restriction
FF7	tm	Final Fantasy VII (Abbreviation tag)
BLEACH	tm	Bleach series
鷺沢文香	©	Fumika Sagisawa (The Idolm@ster Cinderella Girls)
長瀞さん	©	Hayase Nagatoro (Nagatoro-san short tag)
童貞を殺すセーター	costume	Virgin Killer Sweater (Full japanese name tag)
汚いおっさん	type-	Ugly bastard / Dirty old man archetype
正の字	bodymark-	Tally marks / Counting orgasms drawn on skin with 'Sei'
月野うさぎ	©	Usagi Tsukino / Sailor Moon
晒し者	expose	public humiliation / Public exhibition / Exposed person to crowd
拷問館	gear	Torture Device
愛宕	©	Atago (Azur Lane / KanColle single name tag)
原创	oc	Original / OC (Chinese characters variant tag)
即夜戦	setting-	Instant Night Battle (Kantai Collection)
千年戦争アイギス	tm	Millennium War Aigis
側面全裸	tit expose	naked side / No sides dress / Sideboob-to-hip exposure
便器舐め	tongue	Toilet bowl licking (BDSM extreme degradation)
乳打撃	tit	Breast slapping / Tit punching (Ryona/Rough sex)
ランドセル	id	Randoseru / Elementary school backpack
ポケモン剣盾	tm	Pokémon Sword & Shield
ボンテージ	bond gear	Bondage gear / Leather strappy wear
ネコミミ	fantasy	Cat ears / Nekomimi (Katakana spelling tag)
セーラー対魔忍	tm	Sailor Taimanin crossover project
グロ	guro	Guro / Grotesque / Gore content indicator
アへ顔	face	ahegao
sexy	body-	Sexy (English lowercase tag)
large_breasts	tit-	Large Breasts (English lowercase snake_case tag)
cute	body-	Cute (English lowercase tag)
ahegao	face	Ahegao (English lowercase tag)
Re:ゼロから始める異世界生活	tm	Re:Zero - Starting Life in Another World (Full name)
R18	content	R-18 explicit rating tag
OL	costume-	Office Lady (Occupation archetype)
LOL	tm	League of Legends
青肌	fantasy	Blue skin (Monster girls, alien or demon skin)
開口器	mouth sm	Speculum / Mouth gag / Oral spreader device
鎖	bond gear	Chains / Metal chains bondage
腋見せのポーズ	armpit	showing off armpits
ストッキング	underwear-	stockings
